RAD Application ID,Airspace,"Airspace
LDZOACC,LDZOACC,BLW FL205,H24,0NM,NOT ALW,LD1,-,,18 SEP 2024,
LDZOACC_FRA,LDZOACC,ABV FL205,H24,FRA,"NOT ALW EXC BIDI (XNG LDZOACC - (LOWKAPP, LOWIAPP, LOWGAPP,  LOVVACC, LJLAACC, LQSBACC, LYBAACC, LIRRACC, LIBBACC, LIPPACC, LIMMACC, LWSSACC, LAAAACC) BDRY)",-,-,"Free Route Airspace 
(see AIP Croatia)
SECSI FRA",10 FEB 2025,
LECBACC,LECBACC,Below FL245,H24,0NM,Not allowed,LE2,-,,06 APR 2022,
LECBACC_FRA,LECBACC,Above FL245,H24,FRA,,,,,06 APR 2022,
LECMACC,LECMACC,Below FL245,H24,0NM,Not allowed,LE2,-,,06 APR 2022,
LECMACC_FRA,LECMACC,Above FL245,H24,FRA,,,,,06 APR 2022,
LECPACC,LECPACC,Below FL245,H24,0NM,Not allowed,LE2,"LEDA400
LPLE400",,06 APR 2022,
LECPACC_FRA,LECPACC,Above FL245,H24,FRA,,,,,06 APR 2022,
LECSACC,LECSACC,Below FL245,H24,0NM,Not allowed,LE2,LEDA400,,06 APR 2022,
LECSACC_FRA,LECSACC,Above FL245,H24,FRA,,,,,06 APR 2022,
LFBBACC_4,LFBBACC,between FL065..FL195,H24,0NM,Allowed,LFBB2,,,08 SEP 2023,
LFBBACC_2,LFBBACC,below FL065,H24,50NM,Allowed,LFBB1,-,,08 SEP 2023,
LFEEACC,LFEEACC,below FL195,H24,0NM,"Allowed
except to/from
LSAGACC
LSAZACC",LFEE1,LSLF400,,,
LFEEACC_4,LFEEACC execpt LFFRAC,above FL195,H24,0 NM,"Allowed
except to/from
LSAGACC
LSAZACC",LFEE2,LSLF400,,29 OCT 2021,
LFFFACC,LFFFACC,below FL65,H24,"10NM except LFFFEGA, LFRSLOW, LFRSNB","Allowed
except to/from
LSAGACC",LFFF1,LSLF400,,18 MAR 2022,
LFFFACC_4,"LFFFACC except (LFFRAC, LFFRASW)",above FL65,H24,0NM,"Allowed
except to/from
LSAGACC",LFFF2,LSLF400,,18 MAR 2022,
LFFFEGA,LFFFEGA,No Limit,H24,0 NM,,,,except POGOs within PARIS_GROUP,18 MAR 2022,
LFFRAC_FRA,LFFRAC,above FL195,H24,FRA,Not allowed,,,Free Route Airspace,29 OCT 2021,
LFFRAE_FRA,LFFRAE,above FL195,H24,FRA,"Not allowed except with LSAZACC, LSAGACC, EDYYUAC",,,,05 JAN 2024,
LFFRANW_FRA,LFFRANW,above FL195,H24,FRA,Not allowed,,,Free Route Airspace,29 OCT 2021,
LFFRASW_FRA,LFFRASW,above FL195,H24,FRA,Not allowed,,,Free Route Airspace,29 OCT 2021,
LFMMACC,LFMMACC,below FL195,H24,0NM,"Allowed
except to/from
LIRRACC
LIMMACC
LSAGACC",LFMM1,LSLF400,,,
LFMMACC_2,LFMMACC,above FL195,H24,0NM,"Allowed
except to/from
LIRRACC
LIMMACC
LSAGACC",LFMM2,LSLF400,,,
LFRRACC_2,LFRRACC,below FL195,H24,50NM,Allowed,LFRR1,-,,,
LFRRACC_4,LFRRACC except LFFRANW,above FL195,H24,0NM,Allowed,LFRR2,-,,29 OCT 2021,
LFRSLOW,LFRSLOW,Between FL065 .. FL115,H24,0 NM,,,,"LFRSLOW corresponds to SIV NANTES part 1 and part 2.1, Cf AIP France ENR 2.1.4",17 JUN 2022,
LFRSLOW_3,LFRSLOW,Between SFC..FL065,H24,20 NM,,,,"LFRSLOW corresponds to SIV NANTES part 1 and part 2.1, Cf AIP France ENR 2.1.4",17 JUN 2022,
LFRSLU,LFRSLU,Between FL115 .. FL195,H24,0 NM,,,,"LFRSLU corresponds to NANTES CTA Part A, Cf AIP France ENR 2.1.2",01 APR 2022,
LFRSNB,LFRSNB,Between FL115 .. FL145,H24,0 NM,,,,"LFRSNB corresponds to NANTES CTA Part B, cf AIP FRANCE ENR 2.1.2",01 APR 2022,
LGGGACC,LGGGACC,BLW FL305,H24,0NM EXC FLT-TYPE (M),NOT ALW,LG1,"LALG400
LGLT400
LGLC400
LGHE400
LGLI400
LGLM400",,19 SEP 2024,
LGGGACC_FRA,LGGGACC,ABV FL305, H24,FRA,NOT ALW,,,Free Route Airspace,19 SEP 2024,
LGMDACC,LGMDACC,BLW FL305,H24,0NM EXC FLT-TYPE (M),NOT ALW,LG1,"LALG400
LGLW400
LGLB400
LGLT400",,19 SEP 2024,
LGMDACC_FRA,LGMDACC,ABV FL305,H24,FRA,NOT ALW,,,Free Route Airspace,19 SEP 2024,
LHCCACC_FRA,LHCCACC,,H24,FRA,"NOT ALW EXC BIDI (XNG LHCCACC - (LRBBACC, LZBBACC) BDRY)",,,"Free Route Airspace
(see LH AIP)
SEEFRA",10 FEB 2025,
LIBBACC,LIBBACC,GND-FL195,H24,0NM,Not allowed,LI1,-,,31 JAN 2024,
LIBBACC_FRA,LIBBACC,ABV FL195,H24,FRA,Allowed to/from all SECSI FRA ACCs,-,-,Free Route Airspace,14 MAR 2024,
LIMMACC,LIMMACC,GND-FL195,H24,0NM,Not allowed,LI1,-,,31 JAN 2024,
LIMMACC_FRA,LIMMACC,ABV FL195,H24,FRA,Allowed to/from all SECSI FRA ACCs,-,-,Free Route Airspace,14 MAR 2024,
LIPPACC,LIPPACC,GND-FL195,H24,0NM,Not allowed,LI1,-,,31 JAN 2024,
LIPPACC_FRA,LIPPACC,ABV FL195,H24,FRA,Allowed to/from all SECSI FRA ACCs,-,-,Free Route Airspace,14 MAR 2024,
LIRRACC,LIRRACC,GND-FL195,H24,0NM,Not allowed,LI1,-,,31 JAN 2024,
LIRRACC_FRA,LIRRACC,Above FL195,H24,FRA,Allowed to/from all SECSI FRA ACCs,-,-,Free Route Airspace,14 MAR 2024,
LJLAACC_FRA,LJLAACC,,H24,FRA,"NOT ALW EXC BIDI (XNG LJLAACC - (LO**APP, LOVVACC, LDZOACC, LQSBACC, LYBAACC, LIRRACC, LIBBACC, LIPPACC, LIMMACC, LWSSACC, LAAAACC) BDRY)",,,"Free Route Airspace
SECSI FRA + FRAIT",10 FEB 2025,
LJMBAPP,LJMBAPP,,H24,0NM,NOT ALW,LJ2,-,,27 JUL 2024,
LJPZAPP,LJPZAPP,,H24,0NM,NOT ALW,LJ2,-,,27 JUL 2024,
LKAAACC,LKAAACC,BLW FL95,H24,0NM,NOT ALW,,,,02 AUG 2024,
LKAAACC_FRA,LKAAACC,ABV FL95,"H24
----------
H24","FRA
----------
FRA","NOT ALW BIDI (XNG (EDUUUAC-LKAAACC, EDMMACC-LKAAACC) BDRY)
----------
ALW BIDI (XNG (LZBBACC - LKAAACC, EPWWACC-LKAAACC, LOVVACC-LKAAACC, LOWWAPP-LKAAACC, LOWLTMA-LKAAACC) BDRY)","
----------
","
----------
",,08 NOV 2024,
LKPRAPP,LKPRAPP,BLW FL165,H24,0NM,NOT ALW,,,,02 AUG 2024,
LLLLACC,LLLLACC,,H24,0NM,NOT ALW,LL1,-,,26 SEP 2024,
LMMMACC,LMMMACC,BLW FL195,H24,0NM,NOT ALW,LM1,LMLI400,,12 SEP 2024,
LMMMACC_FRA,LMMMACC,ABV FL195,H24,FRA,NOT ALW,,,Free Route Airspace,10 FEB 2025,
LOWIATA,LOWIATA1,,H24,0NM,NOT ALW,LO2,"LOLS400
LOLI400
LOED400",,17 JUL 2024,
LPPCACC,LPPCACC,BLW FL245,H24,300NM,"ALW EXC BIDI (XNG LPPACACC - (GCCCACC, GMMMACC, LECMACC, LECSACC) BDRY)",LP2,"LPGC400
LPGM400
LPLE400",,10 FEB 2025,
LPPCACC_FRA,LPPCACC,ABV FL245,H24,FRA,"ALW EXC BIDI (XNG LPPACACC - (GCCCACC, GMMMACC, LECMACC, LECSACC) BDRY)",-,-,Free Route Airspace,10 FEB 2025,
LPPOACC,LPPOACC,,H24,,"ALW EXC BIDI (XNG LPPACACC - (GCCCACC, GMMMACC, LECMACC, GVSCACC) BDRY)",,"LPGC400
LPGM400
LPGV400
LPLE400",,10 FEB 2025,
LQSBACC,LQSBACC,BLW FL205,H24,0NM,NOT ALW,LQ1,,,12 AUG 2024,
LQSBACC_FRA,LQSBACC,ABV FL205,H24,FRA,"NOT ALW EXC XNG LQSBACC - (LDZOACC, LYBAACC) BDRY",-,-,Free Route Airspace,12 AUG 2024,
LRBBACC,LRBBACC,BLW FL105,H24,0NM,NOT ALW,LR1,LRLU400,,10 FEB 2025,
LRBBACC_FRA,LRBBACC,ABV FL105,H24,FRA,"NOT ALW EXC BIDI (XNG LRBBACC - LBSRACC, LHCCACC, LUUUACC) DBRY)",-,-,"Free Route Airspace
(see LR AIP)
SEEFRA",10 FEB 2025,
LSAGACC,LSAGACC,BLW FL195,H24,0NM,NOT ALW,LS1,LSLF400,For Type X and Type M flights contact LSAG,15 FEB 2025,
LSAGACC_FRA,LSAGACC,ABV FL195,H24,FRA,"NOT ALW EXC BIDI (XNG LSAGACC - (LSAZACC, LFFRAE) BDRY)",,,FRACH,15 FEB 2025,
LSAZACC,LSAZACC,BLW FL195,H24,0NM,NOT ALW EXC DEP BASEL_GROUP & VIA OLBEN,LS1,,For Type X and Type M flights contact LSAZ,15 FEB 2025,
LSAZACC_FRA,LSAZACC,BTN FL195-FL245,"H24
----------
04:00-22:30 (03:00-21:30)
----------
22:30-04:00 (21:30-03:00)
----------
04:00-22:30 (03:00-21:30)
----------
22:30-04:00 (21:30-03:00)","FRA
----------
FRA
----------
FRA
----------
FRA
----------
FRA","NOT ALW EXC BIDI (XNG LSAZACC - (LSAGACC, LFFRAE) BDRY)

----------
NOT ALW EXC BIDI (XNG LSAZACC - (LSAGACC, LFFRAE, EDUUUAC WEST) BDRY)
----------
NOT ALW EXC BIDI (XNG LSAZACC - (LSAGACC, LFFRAE, EDUUUAC WEST, EDMMACC SOUTH) BDRY)
----------
NOT ALW EXC BIDI (XNG LSAZACC - (LSAGACC, LFFRAE, EDUUUAC SOUTH, EDUUUAC WEST) BDRY)
----------
NOT ALW EXC BIDI (XNG LSAZACC - (LSAGACC, LFFRAE, EDUUUAC SOUTH, EDUUUAC WEST, EDMMACC SOUTH) BDRY)","
----------

----------

----------

----------
","
----------

----------

----------

----------
",FRACH,15 FEB 2025,
LT**TMA,LT**TMA there are 36 TMA's,No Limit,H24,No limit,Not allowed,-,-,,,
LTAAACC,LTAAACC,No Limit,H24,"0NM
(except typ M 50nms)",Not allowed,"LT1
LT2
LT3","LTLG400
LTOI400
LTOR400
LTOS400
LTUU400
LTUD400
LTUG400
LTUK400",,,
LUUUACC,LUUUACC,BLW FL095,H24,0NM,NOT ALW,LU1,"LULR400
LUUK400",,12 SEP 2024,
LUUUACC_FRA,LUUUACC,ABV FL095,H24,FRA,ALW BIDI (XNG LRBBACC - LUUUACC BDRY),,,"Free Route Airspace
(see LU AIP)",12 SEP 2024,
LWSSACC,LWSSACC,BLW FL205,H24,0NM,NOT ALW,LW1,"LALW400
LGLW400",,10 FEB 2025,
LWSSACC_FRA,LWSSACC,ABV FL205,H24,FRA,NOT ALW EXC VIA SECSI FRA,,,"Free Route Airspace
(see LW AIP)",10 FEB 2025,
LYBAACC,LYBAACC,BLW FL205,H24,0NM,NOT ALW,LY1,"LYLB400
LYLA400",,08 SEP 2024,
LYBAACC_FRA,LYBAACC,ABV FL205,H24,FRA,"ALW BIDI (XNG (LAAAACC
LDZOACC
LIBBACC
LIMMACC
LIPPACC
LIRRACC
LJLAACC
LO**APP
LOVVACC
LQSBACC
LWSSACC) - BDRY)",-,-,"Free Route Airspace 
(see AIP Serbia/Montenegro)
SECSI FRA",08 SEP 2024,
LZBBACC,LZBBACC,BLW FL245,H24,0NM,NOT ALW,LZ1,,,27 JUL 2024,
LZBBACC_FRA_2,LZBBACC,ABV FL245,H24,FRA,"NOT ALW EXC BIDI (XNG LZBBACC - (LHCCACC,   EPWWACC,  LKAAACC,  LOVVACC) BDRY",,,Free Route Airspace,10 FEB 2025,
UDDDACC,UDDDACC,BLW FL195,H24,250NM,NOT ALW,UD1,"LTUD400
UGUD400
UDUB400
UDOI400",,02 JUL 2024,
UDDDACC_FRA,UDDDACC,ABV FL195,H24,FRA,ALW BIDI (XNG UDDDACC - UGGGACC BDRY),-,-,"Free Route Airspace
FRASC",02 JUL 2024,
UGGGACC_FRA,UGGGACC,No Limit,H24,FRA,NOT ALW EXC BIDI (XNG UGGGACC - UDDDACC BDRY),,,Free Route Airspace,10 FEB 2025,
UKBVACC_2,UKBVACC,Between FL125..FL275,H24,"0NM
Except Type M and training flights","Not allowed
Except Type M and training flights
to/from
UKBVACC/UKLVACC/UKDVACC (except UKDVK Zone 2)/UKOVACC (except UKOVS/UKOVL/UKOVU)",UK1,"EPUK400
LUUK400
UKLB400
LTUK400
UKUM400
UKUU400",,,
UKBVACC,UKBVACC,Below FL125,H24,"50NM
Except Type M and training flights","Not allowed
Except Type M and training flights
to/from
UKBVACC/UKLVACC/UKDVACC (except UKDVK Zone 2)/UKOVACC (except UKOVS/UKOVL/UKOVU)",UK2,"EPUK400
LUUK400
UKLB400
LTUK400
UKUM400
UKUU400",,,
UKBVACC_FRA,UKBVACC,Above FL275,H24,FRA,"Allowed to/from
1. UKBVACC/UKLVACC/UKDVACC (except UKDVK Zone 2)
2. Type M and training flights to/from  UKBVACC/UKLVACC/UKDVACC (except UKDVK Zone 2)/UKOVACC (except UKOVS/UKOVL/UKOVU)",-,-,"Free Route Airspace
(see AIP of UKRAINE)
UKNESFRA",09 JUL 2021,
UKDVACC_1,"UKDVACC
(Only UKDVK Zone 2)",No Limit,H24,0NM,Not allowed,UK3,-,,16 APR 2021,
UKDVACC_2,"UKDVACC
(except UKDVK Zone 2)",Between FL125..FL275,H24,"0NM
Except Type M and training flights","Not allowed
Except Type M and training flights
to/from
UKBVACC/UKLVACC/UKDVACC (except UKDVK Zone 2)/UKOVACC (except UKOVS/UKOVL/UKOVU)",UK1,"EPUK400
LUUK400
UKLB400
LTUK400
UKUM400
UKUU400",,,
UKDVACC,"UKDVACC
(except UKDVK Zone 2)",Below FL125,H24,"50NM
Except Type M and training flights","Not allowed
Except Type M and training flights
to/from
UKBVACC/UKLVACC/UKDVACC (except UKDVK Zone 2)/UKOVACC (except UKOVS/UKOVL/UKOVU)",UK2,"EPUK400
LUUK400
UKLB400
LTUK400
UKUM400
UKUU400",,,
UKDVACC_FRA,UKDVACC (except UKDVK Zone 2),Above FL275,H24,FRA,"Allowed to/from
1. UKBVACC/UKLVACC/UKDVACC (except UKDVK Zone 2)
2. Type M and training flights to/from UKBVACC/UKLVACC/UKDVACC (except UKDVK Zone 2)/UKOVACC (except UKOVS/UKOVL/UKOVU)",-,-,"Free Route Airspace
(see AIP of UKRAINE)
UKNESFRA",09 JUL 2021,
UKLVACC_2,UKLVACC,Between FL125..FL275,H24,"0NM
Except Type M and training flights","Not allowed
Except Type M and training flights
to/from
UKBVACC/UKLVACC/UKDVACC (except UKDVK Zone 2)/UKOVACC (except UKOVS/UKOVL/UKOVU)",UK1,"EPUK400
LUUK400
UKLB400
LTUK400
UKUM400
UKUU400",,,
UKLVACC,UKLVACC,Below FL125,H24,"50NM
Except Type M and training flights","Not allowed
Except Type M and training flights
to/from
UKBVACC/UKLVACC/UKDVACC (except UKDVK Zone 2)/UKOVACC (except UKOVS/UKOVL/UKOVU)",UK2,"EPUK400
LUUK400
UKLB400
LTUK400
UKUM400
UKUU400",,,
UKLVACC_FRA,UKLVACC,Above FL275,H24,FRA,"Allowed to/from
1. UKBVACC/UKLVACC/UKDVACC (except UKDVK Zone 2)
2. Type M and training flights
to/from
UKBVACC/UKLVACC/UKDVACC (except UKDVK Zone 2)/UKOVACC (except UKOVS/UKOVL/UKOVU)",-,-,"Free Route Airspace
(see AIP of Ukraine)
UKNESFRA",09 JUL 2021,
UKOVACC_FRA_4,UKOVACC,Above FL275,H24,FRA,"Not allowed
Except Type M and training flights
to/from
UKBVACC/UKLVACC/UKDVACC (except UKDVK Zone 2)/UKOVACC (except UKOVS/UKOVL/UKOVU)
",,,"Free Route Airspace
(see  AIP of Ukraine)
UKODSFRA",29 OCT 2021,
UKOVACC_3,"UKOVACC
(Only UKOVS/UKOVL/UKOVU)",Below FL275,H24,0NM,Not allowed,UK3,-,,29 OCT 2021,
UKOVACC_2,"UKOVACC
(except UKOVS/UKOVL/UKOVU)",Between FL125..FL275,H24,"0NM
Except Type M and training flights","Not allowed
Except Type M and training flights
to/from
UKBVACC/UKLVACC/UKDVACC (except UKDVK Zone 2)/UKOVACC (except UKOVS/UKOVL/UKOVU)",UK1,"EPUK400
LUUK400
UKLB400
LTUK400
UKUM400
UKUU400",,,
UKOVACC,"UKOVACC
(except UKOVS/UKOVL/UKOVU)",Below FL125,H24,"50NM
Except Type M and training flights","Not allowed
Except Type M and training flights
to/from
UKBVACC/UKLVACC/UKDVACC (except UKDVK Zone 2)/UKOVACC (except UKOVS/UKOVL/UKOVU)",UK2,"EPUK400
LUUK400
UKLB400
LTUK400
UKUM400
UKUU400",,,
